0,"colorful tibetan painting mandalas"
1,"palm tree tibetan painting"
2,"hookah, a water pipe tibetan painting"
3,"locomotive, train tibetan painting"
4,"colorful parrot tibetan painting"
5,"a lighttower tibetan painting"
6,"banana tibetan painting"
7,"persian mosque, colorful facade pattern tibetan painting"
8,"yurt in the steppe tibetan painting"
9,"a fighter on a horse tibetan painting"
10,"coffee bean tibetan painting"
11,"yak tibetan painting"
12,"melon, a melon fruit tibetan painting"
13,"a eyeball with a colorful retina tibetan painting"
14,"a jeep on a dune tibetan painting"
15,"greek temple tibetan painting"
16,"carnival dancer tibetan painting"
17,"sunflower tibetan painting"
18,"field of tulip tibetan painting"
19,"person playing hang drum tibetan painting"
20,"a stupa a buddhist temple tibetan painting"
21,"bazaar ottoman tibetan painting"
22,"palm tree rene magritte painting"
23,"hookah, a water pipe rene magritte painting"
24,"locomotive, train rene magritte painting"
25,"colorful parrot rene magritte painting"
26,"a lighttower rene magritte painting"
27,"banana rene magritte painting"
28,"persian mosque, colorful facade pattern rene magritte painting"
29,"yurt in the steppe rene magritte painting"
30,"a fighter on a horse rene magritte painting"
31,"coffee bean rene magritte painting"
32,"yak rene magritte painting"
33,"melon, a melon fruit rene magritte painting"
34,"a eyeball with a colorful retina rene magritte painting"
35,"a jeep on a dune rene magritte painting"
36,"greek temple rene magritte painting"
37,"carnival dancer rene magritte painting"
38,"sunflower rene magritte painting"
39,"field of tulip rene magritte painting"
40,"person playing hang drum rene magritte painting"
41,"a stupa a buddhist temple rene magritte painting"
42,"bazaar ottoman rene magritte painting"
43,"palm tree soviet art style"
44,"hookah, a water pipe soviet art style"
45,"locomotive, train soviet art style"
46,"colorful parrot soviet art style"
47,"a lighttower soviet art style"
48,"banana soviet art style"
49,"persian mosque, colorful facade pattern soviet art style"
50,"yurt in the steppe soviet art style"
51,"a fighter on a horse soviet art style"
52,"coffee bean soviet art style"
53,"yak soviet art style"
54,"melon, a melon fruit soviet art style"
55,"a eyeball with a colorful retina soviet art style"
56,"a jeep on a dune soviet art style"
57,"greek temple soviet art style"
58,"carnival dancer soviet art style"
59,"sunflower soviet art style"
60,"field of tulip soviet art style"
61,"person playing hang drum soviet art style"
62,"a stupa a buddhist temple soviet art style"
63,"bazaar ottoman soviet art style"
64,"palm tree pop art"
65,"hookah, a water pipe pop art"
66,"locomotive, train pop art"
67,"colorful parrot pop art"
68,"a lighttower pop art"
69,"banana pop art"
70,"persian mosque, colorful facade pattern pop art"
71,"yurt in the steppe pop art"
72,"a fighter on a horse pop art"
73,"coffee bean pop art"
74,"yak pop art"
75,"melon, a melon fruit pop art"
76,"a eyeball with a colorful retina pop art"
77,"a jeep on a dune pop art"
78,"greek temple pop art"
79,"carnival dancer pop art"
80,"sunflower pop art"
81,"field of tulip pop art"
82,"person playing hang drum pop art"
83,"a stupa a buddhist temple pop art"
84,"bazaar ottoman pop art"
85,"palm tree picasso style painting"
86,"hookah, a water pipe picasso style painting"
87,"locomotive, train picasso style painting"
88,"colorful parrot picasso style painting"
89,"a lighttower picasso style painting"
90,"banana picasso style painting"
91,"persian mosque, colorful facade pattern picasso style painting"
92,"yurt in the steppe picasso style painting"
93,"a fighter on a horse picasso style painting"
94,"coffee bean picasso style painting"
95,"yak picasso style painting"
96,"melon, a melon fruit picasso style painting"
97,"a eyeball with a colorful retina picasso style painting"
98,"a jeep on a dune picasso style painting"
99,"greek temple picasso style painting"
100,"carnival dancer picasso style painting"
101,"sunflower picasso style painting"
102,"field of tulip picasso style painting"
103,"person playing hang drum picasso style painting"
104,"a stupa a buddhist temple picasso style painting"
105,"bazaar ottoman picasso style painting"
106,"palm tree psychedlic style poster"
107,"hookah, a water pipe psychedlic style poster"
108,"locomotive, train psychedlic style poster"
109,"colorful parrot psychedlic style poster"
110,"a lighttower psychedlic style poster"
111,"banana psychedlic style poster"
112,"persian mosque, colorful facade pattern psychedlic style poster"
113,"yurt in the steppe psychedlic style poster"
114,"a fighter on a horse psychedlic style poster"
115,"coffee bean psychedlic style poster"
116,"yak psychedlic style poster"
117,"melon, a melon fruit psychedlic style poster"
118,"a eyeball with a colorful retina psychedlic style poster"
119,"a jeep on a dune psychedlic style poster"
120,"greek temple psychedlic style poster"
121,"carnival dancer psychedlic style poster"
122,"sunflower psychedlic style poster"
123,"field of tulip psychedlic style poster"
124,"person playing hang drum psychedlic style poster"
125,"a stupa a buddhist temple psychedlic style poster"
126,"bazaar ottoman psychedlic style poster"
127,"palm tree van gogh painting"
